 demo                      SWIFT 2025-03-24        MODULAR Rev 2025.61.0.2.10-145-g4b862ea                
 num           name       area           TOTAL             flow            sediment        organic_n       organic_p       nitrate_no3     soluble_minp    null            null                PERCO             flow            sediment        organic_n       organic_p       nitrate_no3     soluble_minp    null            null                SURFACE           flow            sediment        organic_n       organic_p       nitrate_no3     soluble_minp    null            null                LATERAL           flow            sediment        organic_n       organic_p       nitrate_no3     soluble_minp    null            null                TILE              flow            sediment        organic_n       organic_p       nitrate_no3     soluble_minp    null            null           
 --            --         ha             ---               mm              t/ha            kg/ha           kg/ha           kg/ha           kg/ha           t/ha            null                ---               mm              t/ha            kg/ha           kg/ha           kg/ha           kg/ha           t/ha            null                ---               mm              t/ha            kg/ha           kg/ha           kg/ha           kg/ha           t/ha            null                ---               mm              t/ha            kg/ha           kg/ha           kg/ha           kg/ha           t/ha            null                ---               mm              t/ha            kg/ha           kg/ha           kg/ha           kg/ha           t/ha            null           
 HRU           1          1.0050         TOTAL             29.91          0.4372E-02      0.3613E-01      0.4786E-02      0.1196E-03      0.8974E-04       0.000           0.000               PERCO             0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               SURFACE           29.91          0.4375E-02      0.3616E-01      0.4786E-02      0.8974E-04      0.8974E-04       0.000           0.000               LATERAL           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               TILE              0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000    
 HRU           2          1.0050         TOTAL             24.20          0.4210E-02      0.4135E-01      0.3823E-02      0.2178E-03      0.7259E-04       0.000           0.000               PERCO             0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               SURFACE           24.10          0.4205E-02      0.4129E-01      0.3832E-02      0.4820E-04      0.7230E-04       0.000           0.000               LATERAL          0.9526E-01       0.000           0.000           0.000          0.2217E-03       0.000           0.000           0.000               TILE              0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000    
 HRU           3          1.0050         TOTAL             32.87          0.1512E-02      0.1098E-01      0.2794E-02      0.1331E-01      0.9860E-04       0.000           0.000               PERCO             0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               SURFACE           32.87          0.1513E-02      0.1098E-01      0.2794E-02      0.1315E-03      0.9860E-04       0.000           0.000               LATERAL           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               TILE              0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000    
 HRU           4          1.0050         TOTAL             32.48          0.1477E-02      0.1173E-01      0.2794E-02      0.1741E-01      0.9745E-04       0.000           0.000               PERCO             0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               SURFACE           32.39          0.1473E-02      0.1169E-01      0.2785E-02      0.9717E-04      0.9717E-04       0.000           0.000               LATERAL           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               TILE              0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000    
 HRU           5          1.0050         TOTAL             33.15          0.1247E-02      0.8818E-02      0.2553E-02      0.1880E-01      0.9945E-04       0.000           0.000               PERCO             0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               SURFACE           33.15          0.1248E-02      0.8851E-02      0.2553E-02      0.1326E-03      0.9945E-04       0.000           0.000               LATERAL           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               TILE              0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000    
 HRU           6          1.0050         TOTAL             32.67          0.1906E-02      0.1412E-01      0.3986E-02      0.2183E-01      0.9802E-04       0.000           0.000               PERCO             0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               SURFACE           32.67          0.1908E-02      0.1415E-01      0.4019E-02      0.1307E-03      0.9802E-04       0.000           0.000               LATERAL           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               TILE              0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000    
 HRU           7          1.0050         TOTAL             30.10          0.6824E-02      0.6129E-01      0.7887E-02      0.1204E-03      0.9031E-04       0.000           0.000               PERCO             0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               SURFACE           30.10          0.6827E-02      0.6132E-01      0.7887E-02      0.9031E-04      0.9031E-04       0.000           0.000               LATERAL           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               TILE              0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000    
 HRU           8          1.0050         TOTAL             25.34          0.1271E-01      0.1642          0.1074E-01      0.7602E-04      0.7602E-04       0.000           0.000               PERCO             0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               SURFACE           25.24          0.1268E-01      0.1637          0.1073E-01      0.5049E-04      0.7573E-04       0.000           0.000               LATERAL           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               TILE              0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000    
 HRU           9          1.0050         TOTAL             32.48          0.1818E-02      0.1251E-01      0.3833E-02      0.2251E-01      0.1299E-03       0.000           0.000               PERCO             0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               SURFACE           32.39          0.1815E-02      0.1247E-01      0.3822E-02      0.1296E-03      0.1296E-03       0.000           0.000               LATERAL           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000               TILE              0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000    
